,pred_Tree_0,pred_NN_0,pred_Tree_1,pred_NN_1,pred_Tree_2,pred_NN_2,pred_Tree_3,pred_NN_3,pred_Tree_4,pred_NN_4,pred_Tree_5,pred_NN_5,pred_Tree_6,pred_NN_6,pred_Tree_7,pred_NN_7,pred_Tree_8,pred_NN_8,pred_Tree_9,pred_NN_9
24,396.0885721796599,398.966,396.97495247740017,390.98862,397.246058811436,395.63785,397.5479444890725,395.2225,397.44099473088716,398.57318,397.42830213105873,392.36435,397.5706038293624,398.4504,396.64484930123785,395.6688,394.4744104354862,397.57675,396.30504750682786,393.45596
25,399.9607254971797,401.42365,402.1430463330201,392.80746,399.8866201817812,397.98267,400.49017006090577,397.44058,401.4797545778344,400.91437,401.2695282208989,394.69797,401.8942590499896,400.50204,399.6941915111087,397.82086,398.52599375189664,399.81744,400.85228326454876,395.79404
26,375.6687847699213,378.18576,374.05758116768277,370.24792,375.7277789394247,375.07864,376.03784240617745,375.2609,375.9702345149021,376.6159,376.5162804769961,372.2729,375.21023248391856,374.6813,373.95777261341294,374.3937,374.8036633773065,376.25406,377.3695570499352,373.64926
27,408.238031520486,406.4423,407.15201444947513,397.86206,407.7012196638967,402.3812,408.0562678341847,401.9222,408.4037436543256,403.2141,406.9219729337521,399.1599,407.0852057111853,404.44016,408.82720711593385,402.5088,407.1460506930356,404.64877,406.40820559135244,400.81003
28,352.0613252665483,352.828,352.9773484923231,342.86118,353.24956506017236,347.38382,352.68021057278656,348.6022,352.23100682996113,346.9956,351.2302421852424,346.3496,351.7789288508496,348.63855,352.3752295830689,347.7397,353.6896512348316,350.14868,353.7626262856294,347.2484
29,414.80288419426336,416.8213,416.02020743111774,408.76724,415.5103426601472,410.54355,415.3519836198161,412.74954,416.8748089517248,413.30606,415.9298461962057,410.25647,413.78120067109046,415.3359,414.76662150549583,412.36423,416.60211830044926,413.8636,415.7679308596735,412.20486
30,402.12836549862556,405.20413,402.19442465471127,395.25845,402.86425530885003,401.48862,402.7100008045879,402.55887,401.519008918639,405.99982,402.0111103339328,399.6793,403.89559527278374,404.6689,401.5405349831279,401.33633,402.68057086356725,404.4719,401.4575132754315,401.55154
31,402.7995299526427,405.89566,402.095255118231,396.66837,401.92594854093403,402.43484,401.45579270088183,404.16745,402.811714500032,406.8585,402.58398107774275,401.00647,402.6338420851326,405.72427,403.00213218315156,403.28906,401.217350301604,405.57104,400.3803104475252,403.08755
32,396.4809822033377,406.52768,396.2303099217788,397.76392,395.68285377670384,400.64963,397.37198026839025,406.91513,396.18449747586544,403.57318,396.8418979859233,403.69745,396.7236518404648,406.22354,396.594526656718,404.70102,395.73099690411004,405.60312,394.9183198435293,406.5168
33,395.70130217902596,395.7309,394.62724018803436,386.45816,395.76400028135953,389.93484,394.47879550581536,391.74002,396.80826566808116,393.86346,393.42817538785914,389.2495,396.3601389271212,394.44843,394.4281504185379,391.45398,393.981264627945,393.08115,396.24001928032783,390.8072
34,402.705356982925,407.41428,401.4011484364774,399.2897,401.8056103475636,402.15762,403.03452025497137,407.32,402.4830991274065,404.544,402.4031975570227,404.46075,403.29752406844364,407.47266,402.0645757500768,405.80984,403.1496822704528,406.6346,401.09689162915447,406.89777
35,397.0224527685869,404.21567,394.4427372115421,394.97214,395.6456020011817,397.61996,397.5504318370948,404.49954,396.94976287399123,401.06647,398.09203995717075,401.06067,398.0320063861242,403.17905,396.9205357004936,401.56042,398.14693129140977,402.8446,395.52594768776385,403.65512
36,392.5786473083252,399.5112,393.3865747596999,392.65234,391.3441828302324,395.14865,391.9344657237658,396.4493,392.05634150727116,397.94342,390.4251064716375,394.80902,391.8893365980357,397.86218,391.8706182996095,396.50177,391.26705700167184,398.88,394.14667435290244,396.4412
37,373.92600584827255,380.4106,374.9652494965886,372.74472,375.18259875601194,377.0334,374.6964263537773,378.07224,375.14496837187454,379.44586,373.32772129940906,375.66742,373.22831090221126,378.37454,374.0102498014835,376.96893,376.06746193818026,378.84055,374.69818812022254,377.18906
38,320.2240850695817,325.99762,319.57059041800744,319.86716,319.59593226122934,324.79526,319.2339195462898,323.1658,319.0776205360894,324.22638,320.99656669514303,321.3989,319.95912729692674,321.167,319.54688480494406,321.28827,320.39009456164933,321.56186,320.31539073044956,322.42557
